movie_id,title,genres,title_length,text_for_embedding,clean_text,text_length
136,From the Journals of Jean Seberg (1995),Documentary,39,From the Journals of Jean Seberg (1995) Documentary,From the Journals of Jean Seberg (1995) Documentary,51
137,Man of the Year (1995),Documentary,22,Man of the Year (1995) Documentary,Man of the Year (1995) Documentary,34
138,"Neon Bible, The (1995)",Drama,22,"Neon Bible, The (1995) Drama","Neon Bible, The (1995) Drama",28
139,Target (1995),Action|Drama,13,"Target (1995) Action,Drama","Target (1995) Action,Drama",26
140,Up Close and Personal (1996),Drama|Romance,28,"Up Close and Personal (1996) Drama,Romance","Up Close and Personal (1996) Drama,Romance",42
141,"Birdcage, The (1996)",Comedy,20,"Birdcage, The (1996) Comedy","Birdcage, The (1996) Comedy",27
142,Shadows (Cienie) (1988),Drama,23,Shadows (Cienie) (1988) Drama,Shadows (Cienie) (1988) Drama,29
143,Gospa (1995),Drama,12,Gospa (1995) Drama,Gospa (1995) Drama,18
144,"Brothers McMullen, The (1995)",Comedy,29,"Brothers McMullen, The (1995) Comedy","Brothers McMullen, The (1995) Comedy",36
145,Bad Boys (1995),Action,15,Bad Boys (1995) Action,Bad Boys (1995) Action,22
146,"Amazing Panda Adventure, The (1995)",Adventure|Children's,35,"Amazing Panda Adventure, The (1995) Adventure,Children's","Amazing Panda Adventure, The (1995) Adventure,Children's",56
147,"Basketball Diaries, The (1995)",Drama,30,"Basketball Diaries, The (1995) Drama","Basketball Diaries, The (1995) Drama",36
148,"Awfully Big Adventure, An (1995)",Drama,32,"Awfully Big Adventure, An (1995) Drama","Awfully Big Adventure, An (1995) Drama",38
149,Amateur (1994),Crime|Drama|Thriller,14,"Amateur (1994) Crime,Drama,Thriller","Amateur (1994) Crime,Drama,Thriller",35
150,Apollo 13 (1995),Drama,16,Apollo 13 (1995) Drama,Apollo 13 (1995) Drama,22
151,Rob Roy (1995),Drama|Romance|War,14,"Rob Roy (1995) Drama,Romance,War","Rob Roy (1995) Drama,Romance,War",32
152,"Addiction, The (1995)",Horror,21,"Addiction, The (1995) Horror","Addiction, The (1995) Horror",28
153,Batman Forever (1995),Action|Adventure|Comedy|Crime,21,"Batman Forever (1995) Action,Adventure,Comedy,Crime","Batman Forever (1995) Action,Adventure,Comedy,Crime",51
154,Belle de jour (1967),Drama,20,Belle de jour (1967) Drama,Belle de jour (1967) Drama,26
155,Beyond Rangoon (1995),Drama|War,21,"Beyond Rangoon (1995) Drama,War","Beyond Rangoon (1995) Drama,War",31
156,Blue in the Face (1995),Comedy,23,Blue in the Face (1995) Comedy,Blue in the Face (1995) Comedy,30
157,Canadian Bacon (1994),Comedy|War,21,"Canadian Bacon (1994) Comedy,War","Canadian Bacon (1994) Comedy,War",32
158,Casper (1995),Adventure|Children's,13,"Casper (1995) Adventure,Children's","Casper (1995) Adventure,Children's",34
159,Clockers (1995),Drama,15,Clockers (1995) Drama,Clockers (1995) Drama,21
160,Congo (1995),Action|Adventure|Mystery|Sci-Fi,12,"Congo (1995) Action,Adventure,Mystery,Sci-Fi","Congo (1995) Action,Adventure,Mystery,Sci-Fi",44
161,Crimson Tide (1995),Drama|Thriller|War,19,"Crimson Tide (1995) Drama,Thriller,War","Crimson Tide (1995) Drama,Thriller,War",38
162,Crumb (1994),Documentary,12,Crumb (1994) Documentary,Crumb (1994) Documentary,24
163,Desperado (1995),Action|Romance|Thriller,16,"Desperado (1995) Action,Romance,Thriller","Desperado (1995) Action,Romance,Thriller",40
164,Devil in a Blue Dress (1995),Crime|Film-Noir|Mystery|Thriller,28,"Devil in a Blue Dress (1995) Crime,Film-Noir,Mystery,Thriller","Devil in a Blue Dress (1995) Crime,Film-Noir,Mystery,Thriller",61
165,Die Hard: With a Vengeance (1995),Action|Thriller,33,"Die Hard: With a Vengeance (1995) Action,Thriller","Die Hard: With a Vengeance (1995) Action,Thriller",49
166,"Doom Generation, The (1995)",Comedy|Drama,27,"Doom Generation, The (1995) Comedy,Drama","Doom Generation, The (1995) Comedy,Drama",40
167,Feast of July (1995),Drama,20,Feast of July (1995) Drama,Feast of July (1995) Drama,26
168,First Knight (1995),Action|Adventure|Drama|Romance,19,"First Knight (1995) Action,Adventure,Drama,Romance","First Knight (1995) Action,Adventure,Drama,Romance",50
169,Free Willy 2: The Adventure Home (1995),Adventure|Children's|Drama,39,"Free Willy 2: The Adventure Home (1995) Adventure,Children's,Drama","Free Willy 2: The Adventure Home (1995) Adventure,Children's,Drama",66
170,Hackers (1995),Action|Crime|Thriller,14,"Hackers (1995) Action,Crime,Thriller","Hackers (1995) Action,Crime,Thriller",36
171,Jeffrey (1995),Comedy,14,Jeffrey (1995) Comedy,Jeffrey (1995) Comedy,21
172,Johnny Mnemonic (1995),Action|Sci-Fi|Thriller,22,"Johnny Mnemonic (1995) Action,Sci-Fi,Thriller","Johnny Mnemonic (1995) Action,Sci-Fi,Thriller",45
173,Judge Dredd (1995),Action|Adventure|Sci-Fi,18,"Judge Dredd (1995) Action,Adventure,Sci-Fi","Judge Dredd (1995) Action,Adventure,Sci-Fi",42
174,Jury Duty (1995),Comedy,16,Jury Duty (1995) Comedy,Jury Duty (1995) Comedy,23
175,Kids (1995),Drama,11,Kids (1995) Drama,Kids (1995) Drama,17
176,Living in Oblivion (1995),Comedy,25,Living in Oblivion (1995) Comedy,Living in Oblivion (1995) Comedy,32
177,Lord of Illusions (1995),Horror,24,Lord of Illusions (1995) Horror,Lord of Illusions (1995) Horror,31
178,Love & Human Remains (1993),Comedy,27,Love & Human Remains (1993) Comedy,Love & Human Remains (1993) Comedy,34
179,Mad Love (1995),Drama|Romance,15,"Mad Love (1995) Drama,Romance","Mad Love (1995) Drama,Romance",29
180,Mallrats (1995),Comedy,15,Mallrats (1995) Comedy,Mallrats (1995) Comedy,22
181,Mighty Morphin Power Rangers: The Movie (1995),Action|Children's,46,"Mighty Morphin Power Rangers: The Movie (1995) Action,Children's","Mighty Morphin Power Rangers: The Movie (1995) Action,Children's",64
182,Moonlight and Valentino (1995),Drama|Romance,30,"Moonlight and Valentino (1995) Drama,Romance","Moonlight and Valentino (1995) Drama,Romance",44
183,Mute Witness (1994),Thriller,19,Mute Witness (1994) Thriller,Mute Witness (1994) Thriller,28
184,Nadja (1994),Drama,12,Nadja (1994) Drama,Nadja (1994) Drama,18
185,"Net, The (1995)",Sci-Fi|Thriller,15,"Net, The (1995) Sci-Fi,Thriller","Net, The (1995) Sci-Fi,Thriller",31
186,Nine Months (1995),Comedy,18,Nine Months (1995) Comedy,Nine Months (1995) Comedy,25
187,Party Girl (1995),Comedy,17,Party Girl (1995) Comedy,Party Girl (1995) Comedy,24
188,"Prophecy, The (1995)",Horror,20,"Prophecy, The (1995) Horror","Prophecy, The (1995) Horror",27
189,Reckless (1995),Comedy,15,Reckless (1995) Comedy,Reckless (1995) Comedy,22
190,Safe (1995),Thriller,11,Safe (1995) Thriller,Safe (1995) Thriller,20
191,"Scarlet Letter, The (1995)",Drama,26,"Scarlet Letter, The (1995) Drama","Scarlet Letter, The (1995) Drama",32
192,"Show, The (1995)",Documentary,16,"Show, The (1995) Documentary","Show, The (1995) Documentary",28
193,Showgirls (1995),Drama,16,Showgirls (1995) Drama,Showgirls (1995) Drama,22
194,Smoke (1995),Drama,12,Smoke (1995) Drama,Smoke (1995) Drama,18
195,Something to Talk About (1995),Comedy|Drama|Romance,30,"Something to Talk About (1995) Comedy,Drama,Romance","Something to Talk About (1995) Comedy,Drama,Romance",51
196,Species (1995),Horror|Sci-Fi,14,"Species (1995) Horror,Sci-Fi","Species (1995) Horror,Sci-Fi",28
197,"Stars Fell on Henrietta, The (1995)",Drama,35,"Stars Fell on Henrietta, The (1995) Drama","Stars Fell on Henrietta, The (1995) Drama",41
198,Strange Days (1995),Action|Crime|Sci-Fi,19,"Strange Days (1995) Action,Crime,Sci-Fi","Strange Days (1995) Action,Crime,Sci-Fi",39
199,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964)",Drama|Musical,65,"Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964) Drama,Musical","Umbrellas of Cherbourg, The (Parapluies de Cherbourg, Les) (1964) Drama,Musical",79
200,"Tie That Binds, The (1995)",Thriller,26,"Tie That Binds, The (1995) Thriller","Tie That Binds, The (1995) Thriller",35
201,Three Wishes (1995),Drama,19,Three Wishes (1995) Drama,Three Wishes (1995) Drama,25
202,Total Eclipse (1995),Drama|Romance,20,"Total Eclipse (1995) Drama,Romance","Total Eclipse (1995) Drama,Romance",34
203,"To Wong Foo, Thanks for Everything! Julie Newmar (1995)",Comedy,55,"To Wong Foo, Thanks for Everything! Julie Newmar (1995) Comedy","To Wong Foo, Thanks for Everything! Julie Newmar (1995) Comedy",62
204,Under Siege 2: Dark Territory (1995),Action,36,Under Siege 2: Dark Territory (1995) Action,Under Siege 2: Dark Territory (1995) Action,43
205,Unstrung Heroes (1995),Comedy|Drama,22,"Unstrung Heroes (1995) Comedy,Drama","Unstrung Heroes (1995) Comedy,Drama",35
206,Unzipped (1995),Documentary,15,Unzipped (1995) Documentary,Unzipped (1995) Documentary,27
207,"Walk in the Clouds, A (1995)",Drama|Romance,28,"Walk in the Clouds, A (1995) Drama,Romance","Walk in the Clouds, A (1995) Drama,Romance",42
208,Waterworld (1995),Action|Adventure,17,"Waterworld (1995) Action,Adventure","Waterworld (1995) Action,Adventure",34
209,White Man's Burden (1995),Drama,25,White Man's Burden (1995) Drama,White Man's Burden (1995) Drama,31
210,Wild Bill (1995),Western,16,Wild Bill (1995) Western,Wild Bill (1995) Western,24
211,"Browning Version, The (1994)",Drama,28,"Browning Version, The (1994) Drama","Browning Version, The (1994) Drama",34
212,Bushwhacked (1995),Comedy,18,Bushwhacked (1995) Comedy,Bushwhacked (1995) Comedy,25
